,region,EWCL,perspective,value
0,北京,Energy,国际（生产视角）,7.565746
1,天津,Energy,国际（生产视角）,12.81656
2,河北,Energy,国际（生产视角）,44.40692
3,山西,Energy,国际（生产视角）,21.96754
4,内蒙古,Energy,国际（生产视角）,23.98442
5,辽宁,Energy,国际（生产视角）,32.07609
6,吉林,Energy,国际（生产视角）,8.95389
7,黑龙江,Energy,国际（生产视角）,10.37282
8,上海,Energy,国际（生产视角）,26.934
9,江苏,Energy,国际（生产视角）,67.79031
10,浙江,Energy,国际（生产视角）,39.63327
11,安徽,Energy,国际（生产视角）,12.82503
12,福建,Energy,国际（生产视角）,19.74573
13,江西,Energy,国际（生产视角）,9.73709
14,山东,Energy,国际（生产视角）,57.19902
15,河南,Energy,国际（生产视角）,26.36149
16,湖北,Energy,国际（生产视角）,17.60726
17,湖南,Energy,国际（生产视角）,13.60695
18,广东,Energy,国际（生产视角）,60.67143
19,广西,Energy,国际（生产视角）,10.95413
20,海南,Energy,国际（生产视角）,1.88149
21,重庆,Energy,国际（生产视角）,6.66703
22,四川,Energy,国际（生产视角）,15.33649
23,贵州,Energy,国际（生产视角）,10.27734
24,云南,Energy,国际（生产视角）,14.60466
25,陕西,Energy,国际（生产视角）,11.77822
26,甘肃,Energy,国际（生产视角）,6.33342
27,青海,Energy,国际（生产视角）,1.911412
28,宁夏,Energy,国际（生产视角）,4.452129
29,新疆,Energy,国际（生产视角）,9.545049
30,北京,Energy,国内（生产视角）,11.81597
31,天津,Energy,国内（生产视角）,27.47878
32,河北,Energy,国内（生产视角）,119.9148
33,山西,Energy,国内（生产视角）,71.04147
34,内蒙古,Energy,国内（生产视角）,101.8766
35,辽宁,Energy,国内（生产视角）,65.86561
36,吉林,Energy,国内（生产视角）,37.13293
37,黑龙江,Energy,国内（生产视角）,35.51204
38,上海,Energy,国内（生产视角）,29.60948
39,江苏,Energy,国内（生产视角）,74.35472
40,浙江,Energy,国内（生产视角）,36.99263
41,安徽,Energy,国内（生产视角）,38.42971
42,福建,Energy,国内（生产视角）,14.10923
43,江西,Energy,国内（生产视角）,15.98809
44,山东,Energy,国内（生产视角）,75.21323
45,河南,Energy,国内（生产视角）,91.99861
46,湖北,Energy,国内（生产视角）,35.21904
47,湖南,Energy,国内（生产视角）,31.49171
48,广东,Energy,国内（生产视角）,49.27913
49,广西,Energy,国内（生产视角）,21.22472
50,海南,Energy,国内（生产视角）,3.292817
51,重庆,Energy,国内（生产视角）,19.28869
52,四川,Energy,国内（生产视角）,35.01823
53,贵州,Energy,国内（生产视角）,33.66188
54,云南,Energy,国内（生产视角）,24.44994
55,陕西,Energy,国内（生产视角）,35.65015
56,甘肃,Energy,国内（生产视角）,20.52232
57,青海,Energy,国内（生产视角）,5.128919
58,宁夏,Energy,国内（生产视角）,13.61588
59,新疆,Energy,国内（生产视角）,18.32711
60,北京,Energy,本地（生产视角）,19.98655
61,天津,Energy,本地（生产视角）,22.85711
62,河北,Energy,本地（生产视角）,84.85496
63,山西,Energy,本地（生产视角）,64.56394
64,内蒙古,Energy,本地（生产视角）,62.55863
65,辽宁,Energy,本地（生产视角）,91.1029
66,吉林,Energy,本地（生产视角）,36.67339
67,黑龙江,Energy,本地（生产视角）,39.40336
68,上海,Energy,本地（生产视角）,35.06902
69,江苏,Energy,本地（生产视角）,84.26085
70,浙江,Energy,本地（生产视角）,56.3196
71,安徽,Energy,本地（生产视角）,41.71267
72,福建,Energy,本地（生产视角）,47.11692
73,江西,Energy,本地（生产视角）,28.03947
74,山东,Energy,本地（生产视角）,150.1603
75,河南,Energy,本地（生产视角）,78.7381
76,湖北,Energy,本地（生产视角）,69.80261
77,湖南,Energy,本地（生产视角）,57.83259
78,广东,Energy,本地（生产视角）,88.35528
79,广西,Energy,本地（生产视角）,36.07791
80,海南,Energy,本地（生产视角）,8.445081
81,重庆,Energy,本地（生产视角）,33.57575
82,四川,Energy,本地（生产视角）,68.49555
83,贵州,Energy,本地（生产视角）,29.68901
84,云南,Energy,本地（生产视角）,37.08374
85,陕西,Energy,本地（生产视角）,36.17491
86,甘肃,Energy,本地（生产视角）,24.07932
87,青海,Energy,本地（生产视角）,5.702495
88,宁夏,Energy,本地（生产视角）,18.94632
89,新疆,Energy,本地（生产视角）,39.72492
90,北京,Energy,本地（消费视角）,19.98655
91,天津,Energy,本地（消费视角）,22.85711
92,河北,Energy,本地（消费视角）,84.85496
93,山西,Energy,本地（消费视角）,64.56394
94,内蒙古,Energy,本地（消费视角）,62.55863
95,辽宁,Energy,本地（消费视角）,91.1029
96,吉林,Energy,本地（消费视角）,36.67339
97,黑龙江,Energy,本地（消费视角）,39.40336
98,上海,Energy,本地（消费视角）,35.06902
99,江苏,Energy,本地（消费视角）,84.26085
100,浙江,Energy,本地（消费视角）,56.3196
101,安徽,Energy,本地（消费视角）,41.71267
102,福建,Energy,本地（消费视角）,47.11692
103,江西,Energy,本地（消费视角）,28.03947
104,山东,Energy,本地（消费视角）,150.1603
105,河南,Energy,本地（消费视角）,78.7381
106,湖北,Energy,本地（消费视角）,69.80261
107,湖南,Energy,本地（消费视角）,57.83259
108,广东,Energy,本地（消费视角）,88.35528
109,广西,Energy,本地（消费视角）,36.07791
110,海南,Energy,本地（消费视角）,8.445081
111,重庆,Energy,本地（消费视角）,33.57575
112,四川,Energy,本地（消费视角）,68.49555
113,贵州,Energy,本地（消费视角）,29.68901
114,云南,Energy,本地（消费视角）,37.08374
115,陕西,Energy,本地（消费视角）,36.17491
116,甘肃,Energy,本地（消费视角）,24.07932
